NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06167785,A Study to Evaluate Zanubrutinib and Tislelizumab in Progressive Lymphoma Post CAR-T,https://clinicaltrials.gov/study/NCT06167785,RECRUITING,Large B-cell Lymphoma,DRUG: Tislelizumab|DRUG: Zanubrutinib|DRUG: Tislelizumab + Zanubrutinib,"University Health Network, Toronto",,INTERVENTIONAL
NCT02560441,"Trial of IPGDP Regimen Chemotherapy in Patients With Extranodal Natural Killer/T-Cell Lymphoma, Nasal Type",https://clinicaltrials.gov/study/NCT02560441,UNKNOWN,"Extranodal Natural Killer/T-Cell Lymphoma, Nasal Type",OTHER: chemotherapy followed by radiotherapy|OTHER: radiotherapy followed by chemotherapy|DRUG: IPGDP regimen chemotherapy,Chinese Academy of Medical Sciences,"307 Hospital of PLA|Tianjin Medical University Cancer Institute and Hospital|First Hospital of China Medical University|The Second Affiliated Hospital of Dalian Medical University|Hebei Medical University Fourth Hospital|Qilu Hospital of Shandong University|Shandong Cancer Hospital and Institute|Nanfang Hospital, Southern Medical University|Guangdong Provincial People's Hospital|People's Hospital of Guangxi Zhuang Autonomous Region|Xuzhou Medical University|Shanxi Province Cancer Hospital|Shanxi Dayi Hospital|Zhangzhou Municipal Hospital of Fujian Province",INTERVENTIONAL
NCT05745181,Clinical Study of Anti-CD1a CAR-T in the Treatment of R/R Acute T-lymphoblastic Leukemia/Lymphoblastic Lymphoma,https://clinicaltrials.gov/study/NCT05745181,RECRUITING,Acute T-lymphoblastic Leukemia|Acute T-lymphoblastic Lymphoma,BIOLOGICAL: CAR-T Cell Infusion,The Affiliated Hospital of Xuzhou Medical University,,INTERVENTIONAL
NCT00644189,Oral Clofarabine for Relapsed/Refractory Non-Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT00644189,COMPLETED,"Follicular Lymphoma|Marginal Zone Lymphoma|Mantle Cell Lymphoma|Small Lymphocytic Lymphoma|Lymphoplasmacytic Lymphoma|Low Grade B-cell Lymphoma, Not Otherwise Specified|Diffuse Large B-cell Lymphoma|Peripheral T-cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Anaplastic Large-cell Lymphoma",DRUG: Clofarabine,Massachusetts General Hospital,"Dana-Farber Cancer Institute|Brigham and Women's Hospital|Genzyme, a Sanofi Company",INTERVENTIONAL
NCT04703686,Treatment by a Bispecific CD3xCD20 Antibody for Relapse/Refractory Lymphomas After CAR T-cells Therapy,https://clinicaltrials.gov/study/NCT04703686,ACTIVE_NOT_RECRUITING,Diffuse Large B-Cell Lymphoma Refractory|Refractory Indolent Adult Non-Hodgkin Lymphoma|Refractory Transformed B-cell Non-Hodgkin Lymphoma|Refractory Primary Mediastinal Large B-Cell Cell Lymphoma|Refractory Mantle Cell Lymphoma,DRUG: Obinutuzumab|DRUG: RO7082859,The Lymphoma Academic Research Organisation,,INTERVENTIONAL
NCT04323657,TC-110 T Cells in Adults With Relapsed or Refractory Non-Hodgkin Lymphoma or Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT04323657,COMPLETED,Non Hodgkin Lymphoma|Acute Lymphoblastic Leukemia|Diffuse Large B Cell Lymphoma|Primary Mediastinal Large B Cell Lymphoma|Mantle Cell Lymphoma|Follicular Lymphoma,DRUG: TC-110 T Cells|DRUG: Fludarabine|DRUG: Cyclophosphamide,TCR2 Therapeutics,,INTERVENTIONAL
NCT04809233,Expanded Access to Tipifarnib,https://clinicaltrials.gov/study/NCT04809233,AVAILABLE,HRAS Mutations or Peripheral T Cell Lymphoma (PTCL),DRUG: Tipifarnib,"Kura Oncology, Inc.",,EXPANDED_ACCESS
NCT05206045,Evolution of the SURvival of Patients With SEzary Syndrome (SS) Over the 1998-2020 Period and Its Association With the Early Use of Therapeutic Monoclonal Antibodies,https://clinicaltrials.gov/study/NCT05206045,UNKNOWN,Sezary Syndrome|Cutaneous T Lymphoma,OTHER: Standard of care,Assistance Publique - Hôpitaux de Paris,,OBSERVATIONAL
NCT02276248,Radiotherapy Combined With GDP Chemotherapy in Stage I/II Extranodal Natural Killer/T-cell Lymphoma,https://clinicaltrials.gov/study/NCT02276248,COMPLETED,Stage I/II Extranodal NK/T-cell Lymphoma,RADIATION: Intensity-modulated radiation therapy|DRUG: GDP chemotherapy,Chinese Academy of Medical Sciences,,INTERVENTIONAL
NCT00002590,Combination Chemotherapy in Treating Children With Lymphoma,https://clinicaltrials.gov/study/NCT00002590,COMPLETED,Lymphoma,BIOLOGICAL: filgrastim|DRUG: cyclophosphamide|DRUG: cytarabine|DRUG: daunorubicin hydrochloride|DRUG: doxorubicin hydrochloride|DRUG: etoposide|DRUG: leucovorin calcium|DRUG: methotrexate|DRUG: pegaspargase|DRUG: prednisone|DRUG: thioguanine|DRUG: vincristine sulfate|RADIATION: radiation therapy,Children's Oncology Group,National Cancer Institute (NCI),INTERVENTIONAL
NCT05757219,Itacitinib Pre-modulation in DLBCL Receiving CAR T Cell Therapy,https://clinicaltrials.gov/study/NCT05757219,RECRUITING,Diffuse Large B Cell Lymphoma,DRUG: Itacitinib|BIOLOGICAL: Chimeric antigen receptor (CAR) T-cell therapy,H. Lee Moffitt Cancer Center and Research Institute,Incyte Corporation,INTERVENTIONAL
NCT00363090,"Alemtuzumab and Combination Chemotherapy in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV T-Cell Non-Hodgkin's Lymphoma",https://clinicaltrials.gov/study/NCT00363090,UNKNOWN,Lymphoma,BIOLOGICAL: alemtuzumab|DRUG: cyclophosphamide|DRUG: doxorubicin hydrochloride|DRUG: prednisone|DRUG: vincristine sulfate|OTHER: flow cytometry|OTHER: pharmacological study,Toronto Sunnybrook Regional Cancer Centre,,INTERVENTIONAL
NCT06909877,Study to Evaluate Efficacy and Safety of HH2853 in Relapsed/Refractory Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT06909877,RECRUITING,Relapsed/Refractory Peripheral T-Cell Lymphoma (R/R PTCL),DRUG: HH2853 Tablets,"Haihe Biopharma Co., Ltd.",,INTERVENTIONAL
NCT06071871,"A Trial of Polatuzumab Vedotin, Obinutuzumab and Glofitamab As a Peri-CAR-T Cell Treatment Strategy in Large B-cell Lymphoma",https://clinicaltrials.gov/study/NCT06071871,RECRUITING,Large B-cell Lymphoma,DRUG: Glofitamab|DRUG: Polatuzumab vedotin|DRUG: Obinutuzumab,"University College, London",Hoffmann-La Roche,INTERVENTIONAL
NCT04250324,Study of Safety and Efficacy of BZ019 in (R/R) Large B-cell Lymphoma,https://clinicaltrials.gov/study/NCT04250324,UNKNOWN,Large B-cell Lymphoma,BIOLOGICAL: BZ019,"Shanghai Cell Therapy Group Co.,Ltd","Institute of Hematology & Blood Diseases Hospital, China|Tianjin Medical University Cancer Institute and Hospital",INTERVENTIONAL
NCT06142188,Relmacabtagene Autoleucel in Hematologic Malignancies,https://clinicaltrials.gov/study/NCT06142188,NOT_YET_RECRUITING,"Lymphoma, B-Cell|Large B-cell Lymphoma|Follicular Lymphoma",BIOLOGICAL: Relmacabtagene Autoleucel,"Shanghai Ming Ju Biotechnology Co., Ltd.",,OBSERVATIONAL
NCT06254495,A Safety Study of PF-08046044/SGN-35C in Adults With Advanced Cancers,https://clinicaltrials.gov/study/NCT06254495,RECRUITING,"Hodgkin Disease|Lymphoma, T-Cell, Peripheral|Lymphoma, Large B-Cell, Diffuse|Lymphoma, Large-Cell, Anaplastic",DRUG: PF-08046044/SGN-35C,"Seagen, a wholly owned subsidiary of Pfizer",,INTERVENTIONAL
NCT03019055,Study of CAR-20/19-T Cells in Patients With Relapsed Refractory B Cell,https://clinicaltrials.gov/study/NCT03019055,COMPLETED,"Lymphoma, Non-Hodgkin|Lymphoma, B-Cell|Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma",BIOLOGICAL: CAR-20/19-T cells (1.0 x10^5 CAR-20/19-T cells/kg)|BIOLOGICAL: CAR-20/19-T cells (2.5 x10^5 CAR-20/19-T cells/kg)|BIOLOGICAL: CAR-20/19-T cells (7.5 x10^5 CAR-20/19-T cells/kg)|BIOLOGICAL: CAR-20/19-T cells (2.5 x10^6 CAR-20/19-T cells/kg),Medical College of Wisconsin,"Children's Hospital and Health System Foundation, Wisconsin",INTERVENTIONAL
NCT06464861,Sequential Treatment of CD19 CARNK and 7x19 CAR-T in R/R B Cell Lymphoma,https://clinicaltrials.gov/study/NCT06464861,RECRUITING,Primary Mediastinal B-cell Lymphoma (PMBCL)|Mantle Cell Lymphoma (MCL)|Diffuse Large B Cell Lymphoma( DLBCL),BIOLOGICAL: CD19-CAR-NK/T,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL
NCT06462248,Anti-CD19 Chimeric Antigen Receptor Modified T-cell (CAR-T) Therapy for Treatment of B-cell Hematological Malignancies,https://clinicaltrials.gov/study/NCT06462248,RECRUITING,"Lymphoma, Nonhodgkin|Leukemia, Lymphocytic",DRUG: CUCART19,Chi Kong Li,Hong Kong Children's Hospital,INTERVENTIONAL
NCT03107962,Treatment of Relapsed or Refractory Natural Killer/T Cell Lymphoma,https://clinicaltrials.gov/study/NCT03107962,UNKNOWN,"Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type",DRUG: Pembrolizumab (PD-1 Blocking Antibody),Mingzhi Zhang,,INTERVENTIONAL
NCT02132624,CD19-targeting 3rd Generation CAR T Cells for Refractory B Cell Malignancy - a Phase I/IIa Trial.,https://clinicaltrials.gov/study/NCT02132624,COMPLETED,B Cell Lymphoma|B Cell Leukemia,BIOLOGICAL: Autologous 3rd generation CD19-targeting CAR T cells,Uppsala University,Uppsala University Hospital|Karolinska University Hospital|AFA Insurance|Swedish Cancer Society,INTERVENTIONAL
NCT05274997,A Phase II Study of Linperlisib (YY-20394) in Patients With Relapsed or Refractory Peripheral T/NK Cell Lymphoma,https://clinicaltrials.gov/study/NCT05274997,UNKNOWN,Peripheral T/NK Cell Lymphoma (R/R PTCL),DRUG: YY-20394,Shanghai YingLi Pharmaceutical Co. Ltd.,,INTERVENTIONAL
NCT04156178,CD20-CD19 Compound CAR (cCAR) T Cells for Patients With Relapsed /Refractory B Cell Malignancies,https://clinicaltrials.gov/study/NCT04156178,UNKNOWN,B Cell Lymphoma|B Cell Leukemia,BIOLOGICAL: CD20-CD19 cCAR T cells,iCell Gene Therapeutics,Peking University Shenzhen Hospital|Chengdu Military General Hospital|iCAR Bio Therapeutics Ltd.,INTERVENTIONAL
NCT04697940,Decitabine-primed Tandem CD19/CD20 CAR T Cells Treatment in r/r B-NHL,https://clinicaltrials.gov/study/NCT04697940,RECRUITING,Relapsed and Refractory B-cell Non-Hodgkin's Lymphoma|Decitabine-primed Tandem CD19/CD20 CAR T Cells,BIOLOGICAL: Decitabine-primed Tandem CAR19/20 engineered T cells|DRUG: Fludarabine|DRUG: Cyclophosphamide,Han weidong,,INTERVENTIONAL
NCT03869619,REal World Data in LYmphoma and Survival in Adults,https://clinicaltrials.gov/study/NCT03869619,RECRUITING,Diffuse Large B Lymphoma (DLBCL)|Follicular Lymphoma (FL)|Mantle Cell Lymphoma (MCL)|Marginal Zone Lymphoma (MZL)|T-cell Lymphoma (T-NHL)|Hodgkin's Lymphoma (HL)|Burkitt Lymphoma (BL)),OTHER: Real-life epidemiological platform of lymphoma in France,Hospices Civils de Lyon,The Lymphoma Academic Research Organisation,OBSERVATIONAL
NCT05800067,Axi-cel Retreatment in Relapsed/Refractory LBCL,https://clinicaltrials.gov/study/NCT05800067,UNKNOWN,CAR-T Retreatment,DRUG: axi-cel,Ruijin Hospital,,INTERVENTIONAL
NCT03086954,Study Evaluating the Efficacy and Safety With CAR-T Immunotherapy for CD19 Positive Lymphoma,https://clinicaltrials.gov/study/NCT03086954,UNKNOWN,Lymphoma,BIOLOGICAL: The Chimeric Antigen Receptor T Cell Immunotherapy (CAR-T),"Sinobioway Cell Therapy Co., Ltd.",Jiangsu Cancer Institute & Hospital,INTERVENTIONAL
NCT05544968,CD30biAb-AATC for CD30+ Malignancies,https://clinicaltrials.gov/study/NCT05544968,NOT_YET_RECRUITING,Hodgkin Disease|CD30-Positive Diffuse Large B-Cell Lymphoma|CD30+ Anaplastic Large Cell Lymphoma|CD30+ Pleomorphic Large T-Cell Cutaneous Lymphoma|CD30+ Immunoblastic Large T-Cell Cutaneous Lymphoma|Leukemia|Lymphoma,DRUG: anti-CD30 Bispecific Antibody-armed anti-CD3-Activated Autologous T-cells (CD30 biAb-AATC)|DRUG: GM-CSF,Medical College of Wisconsin,,INTERVENTIONAL
NCT05688241,EBV-Tscm Cytotoxic T Cells (CTLs) for EBV- Driven Lymphomas/ Diseases,https://clinicaltrials.gov/study/NCT05688241,NOT_YET_RECRUITING,EBV Lymphoma|Post-transplant Lymphoproliferative Disease (PTLD),DRUG: Donor-derived ex-vivo expanded EBV Tscm CTL,"University Hospital, Basel, Switzerland",,INTERVENTIONAL
NCT05058755,Tislelizumab Combined Treatment in Refractory Extranodal NK/T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05058755,COMPLETED,"Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type","DRUG: tislelizumab, azacytidine, lenalidomide|DRUG: tislelizumab, etoposide, pegaspargase","Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",,INTERVENTIONAL
NCT04952584,Allogeneic CD30 Chimeric Antigen Receptor Epstein-Barr Virus-Specific T Lymphocytes in Relapsed or Refractory CD30-Positive Lymphomas,https://clinicaltrials.gov/study/NCT04952584,WITHDRAWN,"Extranodal Natural Killer/T-Cell Lymphoma, Nasal Type|Classical Hodgkin Lymphoma",BIOLOGICAL: CD30.CAR-EBVST cells,Baylor College of Medicine,The Methodist Hospital Research Institute,INTERVENTIONAL
NCT00881920,"Kappa-CD28 T Lymphocytes, Chronic Lymphocytic Leukemia, B-cell Lymphoma or Multiple Myeloma, CHARKALL",https://clinicaltrials.gov/study/NCT00881920,RECRUITING,Lymphoma|Myeloma|Leukemia,BIOLOGICAL: Kappa CD28 T cells,Baylor College of Medicine,"The Methodist Hospital Research Institute|Center for Cell and Gene Therapy, Baylor College of Medicine",INTERVENTIONAL
NCT05114837,Ph I/II Study of CAR19 Regulatory T Cells (CAR19-tTreg) for R/R CD19+ B-ALL,https://clinicaltrials.gov/study/NCT05114837,WITHDRAWN,Lymphoma Leukemia,DRUG: allogeneic CAR19 regulatory T cells (CAR19-tTreg)|DRUG: Fludarabine|DRUG: Cyclophosphamide,"Masonic Cancer Center, University of Minnesota",,INTERVENTIONAL
NCT00254332,Effect of Denileukin Diftitox on Immune System in CTCL Patients,https://clinicaltrials.gov/study/NCT00254332,COMPLETED,Cutaneous T-cell Lymphoma|Sezary Syndrome|Mycosis Fungoides,,University of Pittsburgh,,OBSERVATIONAL
NCT02763384,BL-8040 and Nelarabine for Relapsed or Refractory T-Acute Lymphoblastic Leukemia/ Lymphoblastic Lymphoma,https://clinicaltrials.gov/study/NCT02763384,TERMINATED,T-Acute Lymphoblastic Leukemia|Adult T Lymphoblastic Lymphoma,DRUG: BL-8040|DRUG: Nelarabine,Washington University School of Medicine,The Leukemia and Lymphoma Society|National Institutes of Health (NIH)|National Cancer Institute (NCI),INTERVENTIONAL
NCT05814718,Modified BEAM Regimen for T Cell Lymphoma Underwent ASCT,https://clinicaltrials.gov/study/NCT05814718,NOT_YET_RECRUITING,Autologous Stem Cell Transplantation|Conditioning,DRUG: modified BEAM|DRUG: BEAM,First Affiliated Hospital Xi'an Jiaotong University,,INTERVENTIONAL
NCT06503094,CD19 & CD20 Bispecific CAR T Cells for Relapsed / Refractory B Cell Hematological Tumors,https://clinicaltrials.gov/study/NCT06503094,RECRUITING,B-Cell Lymphoblastic Leukemia/Lymphoma,DRUG: CD19&CD20 bispecific CAR-T cells,"Wuhan Union Hospital, China","Hebei Taihe Chunyu Biotechnology Co., Ltd|Zhujiang Hospital|Jingzhou Central Hospital|Shiyan People's Hospital|Xiangyang Central Hospital|Yichang Central People's Hospital",INTERVENTIONAL
NCT01909934,Study of Brentuximab Vedotin in Participants With Relapsed or Refractory Systemic Anaplastic Large Cell Lymphoma,https://clinicaltrials.gov/study/NCT01909934,COMPLETED,Lymphoma,DRUG: Brentuximab vedotin,Takeda,"Takeda Development Center Americas, Inc.",INTERVENTIONAL
NCT02030834,Phase IIa Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRz and 4-Signaling Domains in Patients With Chemotherapy Relapsed or Refractory CD19+ Lymphomas,https://clinicaltrials.gov/study/NCT02030834,COMPLETED,"Non-Hodgkins Lymphoma (NHL) Patients, With CD19+B Cell Lymphomas",BIOLOGICAL: CART-19,University of Pennsylvania,,INTERVENTIONAL
NCT01087294,Administration of Anti-CD19-chimeric-antigen-receptor-transduced T Cells From the Original Transplant Donor to Patients With Recurrent or Persistent B-cell Malignancies After Allogeneic Stem Cell Transplantation,https://clinicaltrials.gov/study/NCT01087294,COMPLETED,"Leukemia, B-cell|Lymphoma, Hodgkins|Lymphoma, Non-hodgkins|Lymphoma, B-Cell",PROCEDURE: Allogeneic stem cell transplant|BIOLOGICAL: Anti-CD19-chimeric-antigen-receptor-transduced T cells|PROCEDURE: Leukapheresis,National Cancer Institute (NCI),,INTERVENTIONAL
NCT03999697,A Clinical Research of CD22-Targeted CAR-T in B Cell Malignancies,https://clinicaltrials.gov/study/NCT03999697,UNKNOWN,Diffuse Large B Cell Lymphoma|Follicular Lymphoma|Primary Cutaneous Follicle Centre Lymphoma|Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue|Mantle Cell Lymphoma|Plasma Cell Neoplasm|B Cell Lymphoma,DRUG: Autologous chimeric antigen receptor T cell transfusing agent targeting CD22,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",Anhui Provincial Hospital,INTERVENTIONAL
NCT03287817,CD19/22 CAR T Cells (AUTO3) for the Treatment of Diffuse Large B Cell Lymphoma,https://clinicaltrials.gov/study/NCT03287817,COMPLETED,Diffuse Large B Cell Lymphoma|Relapsed Diffuse Large B-Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|DLBCL,BIOLOGICAL: AUTO3,Autolus Limited,,INTERVENTIONAL
NCT06446128,A Dose Escalating Study of CD19/CD22/BCMA CAR-T Therapy in Relapsed or Refractory B Cell Non-Hodgkin Lymphoma(NHL),https://clinicaltrials.gov/study/NCT06446128,ACTIVE_NOT_RECRUITING,"Non-Hodgkin Lymphoma, B-cell",BIOLOGICAL: CD19/CD20/BCMA CAR T cells,"Shanghai Cell Therapy Group Co.,Ltd",,INTERVENTIONAL
NCT02728882,Study Evaluating the Efficacy and Safety With CAR-T for Recurrent or Refractory Diffuse Large B Cell Lymphoma,https://clinicaltrials.gov/study/NCT02728882,UNKNOWN,Lymphoma,BIOLOGICAL: CD19-targeted CAR-T cells,"Sinobioway Cell Therapy Co., Ltd.",The First Affiliated Hospital of Anhui Medical University,INTERVENTIONAL
NCT00156013,Clofarabine for Relapsed or Refractory T-Cell or B-Cell Non-Hodgkin Lymphoma (NHL),https://clinicaltrials.gov/study/NCT00156013,COMPLETED,"Lymphoma, B-Cell|Lymphoma, Non-Hodgkin",DRUG: CLOFARABINE,"Oncology Specialists, S.C.","Genzyme, a Sanofi Company",INTERVENTIONAL
NCT00091559,Oral SAHA (Suberoylanilide Hydroxamic Acid) in Advanced Cutaneous T-cell Lymphoma (0683-001),https://clinicaltrials.gov/study/NCT00091559,COMPLETED,Cutaneous T-cell Lymphoma|Sezary Syndrome|Mycosis Fungoides,"DRUG: MK0683, vorinostat, Suberoylanilide Hydroxamic Acid (SAHA) / Duration of Treatment 6 Months",Merck Sharp & Dohme LLC,,INTERVENTIONAL
NCT00117845,Phase II Study of the Efficacy and Toxicity of Ontak(Registered Trademark) (Denileukin Diftitox) in the Therapy of Adult T-Cell Leukemia,https://clinicaltrials.gov/study/NCT00117845,TERMINATED,"Leukemia, Adult T-Cell",BIOLOGICAL: Denileukin diftitox (Ontak),National Cancer Institute (NCI),,INTERVENTIONAL
NCT06966154,A Phase Ib/II Clinical Study Evaluating the Safety and Efficacy of Tislelizumab in Combination With Golidocitinib and Selinexor for the Treatment of R/R NKTCL,https://clinicaltrials.gov/study/NCT06966154,RECRUITING,Natural Killer/T-cell Lymphoma|Relapsed or Refractory Lymphoma Including ENKL,DRUG: tislezumab|DRUG: golidocitinib|DRUG: Selinexor,Fudan University,,INTERVENTIONAL
NCT06593145,CAR T Cells in the Treatment of Refractory and Relapsed CD19+ B Cell Neoplasms,https://clinicaltrials.gov/study/NCT06593145,RECRUITING,Acute Lymphoblastic Leukemia (ALL)|Mantle Cell Lymphoma (MCL)|Large B-cell Lymphoma,BIOLOGICAL: FCTX-CL19-1 (Tarcidomgen Kimleucel),FamiCordTx,,INTERVENTIONAL
NCT06589089,Autologous Hematopoietic Stem Cell Boost Study After CAR-T Therapy,https://clinicaltrials.gov/study/NCT06589089,RECRUITING,Diffuse Large B Cell Lymphoma,DRUG: autologous hematopoietic stem cell,Ruijin Hospital,,INTERVENTIONAL
NCT04447547,Clinical Trial of SL1904B CAR-T Cells for Relapsed or Refractory Non-Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT04447547,UNKNOWN,Non-hodgkin's Lymphoma,BIOLOGICAL: CD19 CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",Beijing Lu Daopei Hospital|Hebei Yanda Ludaopei Hospital,INTERVENTIONAL
NCT02431988,Evaluation of CAR19 T-cells as an Optimal Bridge to Allogeneic Transplantation,https://clinicaltrials.gov/study/NCT02431988,COMPLETED,Diffuse Large B-Cell Lymphoma,PROCEDURE: Leukapheresis|DRUG: Cyclophosphamide|DRUG: Fludarabine|BIOLOGICAL: CAR19 T-Cells,"University College, London",,INTERVENTIONAL
NCT00365274,SGN-30 and Combination Chemotherapy in Treating Patients With Newly Diagnosed Anaplastic Large Cell Lymphoma,https://clinicaltrials.gov/study/NCT00365274,TERMINATED,Anaplastic Large Cell Lymphoma,DRUG: Cyclophosphamide|DRUG: Doxorubicin hydrochloride|DRUG: vincristine sulfate|DRUG: prednisone|DRUG: SGN-30,National Cancer Institute (NCI),,INTERVENTIONAL
NCT05801913,Genetically Modified T-cells (CMV-Specific CD19-CAR T-cells) Plus a Vaccine (CMV-MVA Triplex) for the Treatment of Intermediate or High Grade B-Cell Non-Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT05801913,RECRUITING,High Grade B-Cell Non-Hodgkin's Lymphoma|Intermediate Grade B-Cell Non-Hodgkin's Lymphoma|Recurrent B-Cell Non-Hodgkin Lymphoma|Refractory B-Cell Non-Hodgkin Lymphoma,BIOLOGICAL: Anti-CD19-CAR CMV-specific T-lymphocytes|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Computed Tomography|PROCEDURE: Leukapheresis|PROCEDURE: Lymphodepletion Therapy|PROCEDURE: Magnetic Resonance Imaging|BIOLOGICAL: Multi-peptide CMV-Modified Vaccinia Ankara Vaccine|PROCEDURE: Positron Emission Tomography|PROCEDURE: X-Ray Imaging,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT05691153,ThisCART19A for B-NHL Relapsed After Auto-CAR T,https://clinicaltrials.gov/study/NCT05691153,RECRUITING,CAR|B Cell Lymphoma|Relapsed Non-Hodgkin Lymphoma,DRUG: ThisCART19A with Dose Level 1|DRUG: ThisCART19A with Dose Level 2,The First Affiliated Hospital of Soochow University,"Fundamenta Therapeutics, Ltd.",INTERVENTIONAL
NCT05206071,Clinical Study of SL19+22 CAR-T Cells for Relapsed or Refractory Non-Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT05206071,UNKNOWN,Non-hodgkin's Lymphoma,BIOLOGICAL: CD19+22 CAR-T cells,"Hebei Senlang Biotechnology Inc., Ltd.",,INTERVENTIONAL
NCT02051257,Memory Enriched T Cells Following Stem Cell Transplant in Treating Patients With Recurrent B-Cell Non-Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT02051257,ACTIVE_NOT_RECRUITING,Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Mantle Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Mantle Cell Lymphoma|Transformed Recurrent Non-Hodgkin Lymphoma,BIOLOGICAL: Autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T cells|BIOLOGICAL: Autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tn/mem-enriched T-lymphocytes|OTHER: Laboratory Biomarker Analysis,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT04088864,CD22-CAR T Cells in Children and Young Adults With B Cell Malignancies,https://clinicaltrials.gov/study/NCT04088864,ACTIVE_NOT_RECRUITING,"B Cell Lymphoma|Acute Lymphoblastic Leukemia, Pediatric|Lymphoma",DRUG: Fludarabine|DRUG: Cyclophosphamide|DRUG: Autologous CD22 CAR T,Stanford University,,INTERVENTIONAL
NCT01685606,Study of Infusion of Blood Cells (Lymphocytes) to Stimulate the Immune System to Fight Leukemia/Lymphoma,https://clinicaltrials.gov/study/NCT01685606,TERMINATED,Mantle Cell Lymphoma|Diffuse Large Cell Lymphoma|Burkitts Lymphoma|T Cell Lymphomas|Acute Myeloid Leukemia/Acute Lymphoblastic Leukemia,BIOLOGICAL: cellular immunotherapy,Brown University,,INTERVENTIONAL
NCT03593109,"A Single-center Clinical Study to Evaluate the Safety, Tolerability, and Efficacy of LCAR-L10D Cell Formulations Targeting CD19 and CD22 in Patients With CD19- and/or CD22-Positive Relapsed/Refractory B-cell Lymphoma",https://clinicaltrials.gov/study/NCT03593109,TERMINATED,"Lymphoma, B-Cell",DRUG: Dual Specificity CD19 and CD22 CAR-T Cell Immunotherapy,Second Affiliated Hospital of Xi'an Jiaotong University,Nanjing Legend Biotech Co.,INTERVENTIONAL
NCT03098589,Revlimid® Capsules Drug Use-results Surveillance (Relapsed or Refractory ATLL),https://clinicaltrials.gov/study/NCT03098589,COMPLETED,Lymphoma,DRUG: Revlimid,Celgene,,OBSERVATIONAL
NCT06735495,CD19 & CD22 Bispecific CAR T Cells in the Treatment of Relapsed/Refractory B Cell Hematologic Tumors,https://clinicaltrials.gov/study/NCT06735495,RECRUITING,B-Cell Lymphoblastic Leukemia/Lymphoma,DRUG: CD19&CD22 bispecific CAR-T cells,"Wuhan Union Hospital, China","Hebei Taihe Chunyu Biotechnology Co., Ltd",INTERVENTIONAL
NCT06090864,ATLCAR.CD30.CCR4 for CD30+ HL ATLCAR.CD30.CCR4 Cells,https://clinicaltrials.gov/study/NCT06090864,RECRUITING,Hodgkin Lymphoma|Relapse|Refractory,DRUG: Chemotherapy|BIOLOGICAL: Cell infusion,UNC Lineberger Comprehensive Cancer Center,,INTERVENTIONAL
NCT06567366,CAR T-cell Therapy in Combination With Glofitamab for Relapsed/Refractory Large B-Cell Lymphoma With High-Risk Prognostic Factors,https://clinicaltrials.gov/study/NCT06567366,NOT_YET_RECRUITING,Large B-cell Lymphoma,BIOLOGICAL: CAR T-cell therapy|DRUG: Glofitamab|DRUG: Obinutuzumab,Ruijin Hospital,,INTERVENTIONAL
NCT02763254,Cellular Immunotherapy for Viral Induced Cancer - EBV Positive Lymphomas,https://clinicaltrials.gov/study/NCT02763254,TERMINATED,"Hodgkin Lymphoma|Lymphoma, Large B-Cell, Diffuse|Post-transplant Lymphoproliferative Disorder",BIOLOGICAL: baltaleucel-T,Cell Medica Ltd,,INTERVENTIONAL
